Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
32015098,CEIP do Bolo,Rúa Cesar Conti s/n,O Bolo,Ourense,32373,988685010,CEIP,42.30631637573242,-7.100823879241943,Pública,Non,Si
32015116,CEIP Plurilingüe Condesa de Fenosa,Rúa A Coruña 24,O Barco de Valdeorras,Ourense,32300,988783646,CEIP,42.41562271118164,-6.994149684906006,Pública,Non,Si
32015141,CEIP de Vilariño de Conso,Estrada Raigada s/n,Vilariño de Conso,Ourense,32557,988788544,CEIP,42.16231918334961,-7.180670738220215,Pública,Non,Si
32015165,CEIP O Castiñeiro,Rúa Castiñeiro 1,Laza,Ourense,32620,988422014,CEIP,42.06155776977539,-7.459867000579834,Pública,Non,Si
32015177,CPI de Padrenda-Crespos,Rúa San Roque de Crespos 29,Padrenda,Ourense,32226,988685040,CPI,42.14031982421875,-8.158364295959473,Pública,Non,Si
32015189,CEIP Joaquina Gallego Jorreto,Estrada DE CELANOVA 1,A Merca,Ourense,32830,988260052,CEIP,42.21879196166992,-7.908450126647949,Pública,Non,Si
32015190,CEIP Plurilingüe Albino Núñez,Rúa Casardomato - O Pino 1,Ourense,Ourense,32001,988788896,CEIP,42.357181549072266,-7.891300201416016,Pública,Non,Si
32015207,IES O Couto,Rúa Rampa de Sas s/n,Ourense,Ourense,32002,988391249,IES,42.33601760864258,-7.873495578765869,Pública,Non,Si
32015219,CEIP Plurilingüe Manuel Sueiro,Rúa Antonio Failde Gago 21,Ourense,Ourense,32004,988231026,CEIP,42.34742736816406,-7.857377529144287,Pública,Non,Si
32015220,CEIP Vistahermosa,Rúa VISTA FERMOSA 10,Ourense,Ourense,32002,988231410,CEIP,42.3444938659668,-7.883087158203125,Pública,Non,Si
32015232,IES Lagoa de Antela,Avenida de Ourense 184,Xinzo de Limia,Ourense,32630,988788548,IES,42.07598114013672,-7.733060836791992,Pública,Non,Si
32015256,CEIP Plurilingüe das Vendas da Barreira,As Vendas da Barreira,Riós,Ourense,32610,988425038,CEIP,41.98634719848633,-7.285019397735596,Pública,Non,Si
32015268,CEIP Plurilingüe Otero Novas,Baixada o Balneario s/n,Cortegada,Ourense,32200,988483117,CEIP,42.206138610839844,-8.172385215759277,Pública,Non,Si
32015396,EEI de Noalla,Rúa Telleiro 13,San Cibrao das Viñas,Ourense,32915,988249320,EEI,42.28738021850586,-7.836913108825684,Pública,Non,Si
