Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15014261,CEIP Heroínas de Sálvora,Rúa Falcoeiro 10,Ribeira,A Coruña,15965,881866345,CEIP,42.53081130981445,-9.014134407043457,Pública,Non,Si
15014271,CEIP Plurilingüe de Artes,Artes (San Xián),Ribeira,A Coruña,15969,881866358,CEIP,42.58096694946289,-9.010248184204102,Pública,Non,Si
15014295,EEI Capela-Carreira,Carreira (San Paio),Ribeira,A Coruña,15967,675104549,EEI,42.5404167175293,-9.012763977050781,Pública,Non,Si
15014349,CPR Plurilingüe Sagrado Corazón de Jesús,Rúa Fonte Nova 4,Ribeira,A Coruña,15966,981840381,CPR,42.53290939331055,-8.996192932128906,Privada,Si,Non
15014416,CPR Plurilingüe La Milagrosa - Josefa Sobrido,A Gandara 8,Ribeira,A Coruña,15993,981865577,CPR,42.606056213378906,-9.005805969238281,Privada,Si,Non
15014465,CEIP Plurilingüe de Palmeira,Rúa Moldes 2,Ribeira,A Coruña,15959,981838281,CEIP,42.58069610595703,-8.96411418914795,Pública,Non,Si
15014520,CPR Plurilingüe Galaxia,Rúa Estatuto s/n,Ribeira,A Coruña,15960,981871242,CPR,42.5543212890625,-8.996644020080566,Privada,Si,Non
15014532,CPR Plurilingüe Bayón,Rúa 1 Cubeliño 79,Ribeira,A Coruña,15968,981871110,CPR,42.552921295166016,-9.001235961914062,Privada,Si,Non
15014544,CEIP Plurilingüe O Grupo,Rúa Miguel Rodriguez Bautista 22,Ribeira,A Coruña,15960,881866335,CEIP,42.5566520690918,-8.99434757232666,Pública,Non,Si
15014556,CIFP Coroso,Rúa dos Estudantes 5,Ribeira,A Coruña,15960,881866874,CIFP,42.56941604614258,-8.981805801391602,Pública,Non,Si
15014568,IES Nº 1,Avenida da Coruña 170,Ribeira,A Coruña,15960,881866904,IES,42.56864929199219,-8.984498977661133,Pública,Non,Si
15014571,EEI Deán Grande,Avenida da Coruña,Ribeira,A Coruña,15968,673437011,EEI,42.56695556640625,-8.987738609313965,Pública,Non,Si
15014738,CPI Plurilingüe dos Dices,Os Dices,Rois,A Coruña,15911,881866890,CPI,42.764404296875,-8.692545890808105,Pública,Non,Si
15014799,CEIP Plurilingüe de Pumar-Urdilde,Rúa Compostela 4,Rois,A Coruña,15281,881866365,CEIP,42.82801818847656,-8.737692832946777,Pública,Non,Si
15014829,CEIP Pedro Barrié de la Maza,Rúa Miguel Pereiro Tacón s/n,Sada,A Coruña,15168,881960090,CEIP,43.35442352294922,-8.276508331298828,Pública,Non,Si
15014881,CEIP Sada y sus Contornos,Avenida Sada y sus Contornos s/n,Sada,A Coruña,15160,881880022,CEIP,43.35608673095703,-8.252974510192871,Pública,Non,Si
15014957,CPI de San Sadurniño,Rúa Marques de Figueroa 19,San Sadurniño,A Coruña,15560,881930489,CPI,43.53481674194336,-8.072327613830566,Pública,Non,Si
15015238,CEIP Plurilingüe Barrié de la Maza,Rúa Rosalia de Castro s/n,Santa Comba,A Coruña,15840,881866918,CEIP,43.03364181518555,-8.816877365112305,Pública,Non,Si
15015241,CPR Plurilingüe Ntra. Sra. Inmaculada,Rúa Santiago 15,Santa Comba,A Coruña,15840,981880085,CPR,43.033329010009766,-8.802897453308105,Privada,Si,Non
15015366,CPR Plurilingüe Casa do Neno,Rúa Canteira de Arriba 17,Santiago de Compostela,A Coruña,15703,981587830,CPR,42.885746002197266,-8.520126342773438,Privada,Si,Non
15015378,CPR Plurilingüe Compañía de María,Rúa Enseñanza 3,Santiago de Compostela,A Coruña,15703,981587500,CPR,42.878692626953125,-8.541176795959473,Privada,Si,Non
15015421,CPR Plurilingüe Juventud,Rúa Concheiros 43,Santiago de Compostela,A Coruña,15703,981587597,CPR,42.8844108581543,-8.533954620361328,Privada,Si,Non
15015469,CPR San Jorge,Avenida Coimbra 24,Santiago de Compostela,A Coruña,15704,981581398,CPR,42.88680648803711,-8.54116153717041,Privada,Si,Non
15015482,CPR Plurilingüe Emma,"Rúa Virxe da Cerca, 15-16 15-16-17",Santiago de Compostela,A Coruña,15703,981587112,CPR,42.88019943237305,-8.540619850158691,Privada,Si,Non
15015524,CPR Plurilingüe Vilas Alborada,Rúa Fraguas 26-28,Santiago de Compostela,A Coruña,15703,981585791,CPR,42.880435943603516,-8.535001754760742,Privada,Si,Non
15015548,CPR Plurilingüe Divino Maestro,Rúa Dr.Blanco Najera 2,Santiago de Compostela,A Coruña,15706,981522289,CPR,42.870182037353516,-8.557562828063965,Privada,Si,Non
15015551,CPR Plurilingüe La Inmaculada,Rúa Concepcion Arenal 11,Santiago de Compostela,A Coruña,15702,981586191,CPR,42.87631607055664,-8.543100357055664,Privada,Si,Non
15015561,CPR Manuel Peleteiro,Monte Redondo s/n,Santiago de Compostela,A Coruña,15702,981591475,CPR,42.851890563964844,-8.536060333251953,Privada,Non,Non
15015597,CPR Plurilingüe La Milagrosa,Avenida Barcelona 13,Santiago de Compostela,A Coruña,15706,981520791,CPR,42.8720817565918,-8.556981086730957,Privada,Si,Non
15015603,CPR Plurilingüe La Salle,Praza SAN XOÁN BAUTISTA DE LA SALLE 1,Santiago de Compostela,A Coruña,15704,981584611,CPR,42.883750915527344,-8.541475296020508,Privada,Si,Non
15015627,CPR Plurilingüe San José de Cluny,Rúa A Rosa 13,Santiago de Compostela,A Coruña,15701,981592540,CPR,42.871829986572266,-8.547107696533203,Privada,Si,Non
15015652,CEIP Apóstolo Santiago,Rúa Proxecto Vagalume 2,Santiago de Compostela,A Coruña,15704,881867930,CEIP,42.88576889038086,-8.53571891784668,Pública,Non,Si
15015676,CEIP de Prácticas López Ferreiro,Rúa Xazmíns s/n,Santiago de Compostela,A Coruña,15704,981543178,CEIP,42.885765075683594,-8.542593002319336,Pública,Non,Si
15015688,CEIP Raíña Fabiola,Rúa Entregaleras s/n,Santiago de Compostela,A Coruña,15705,981585372,CEIP,42.8818473815918,-8.550410270690918,Pública,Non,Si
15015743,IES Arcebispo Xelmírez I,Rúa Poza de Bar s/n,Santiago de Compostela,A Coruña,15705,881866962,IES,42.878257751464844,-8.552691459655762,Pública,Non,Si
15015755,IES Plurilingüe Rosalía de Castro,Rúa San Clemente 3,Santiago de Compostela,A Coruña,15705,881866556,IES,42.8775749206543,-8.546717643737793,Pública,Non,Si
15015767,CIFP Politécnico de Santiago,Rúa Rosalia de Castro 133,Santiago de Compostela,A Coruña,15706,881867601,CIFP,42.87098693847656,-8.555980682373047,Pública,Non,Si
15015779,CPR Plurilingüe Ntra.Sra. de los Remedios,Rúa das Orfas 5,Santiago de Compostela,A Coruña,15703,981585850,CPR,42.877967834472656,-8.543435096740723,Privada,Si,Non
15015780,CPR Seminario Menor Diocesano A Asunción,Avenida de Quiroga Palacios 2-A,Santiago de Compostela,A Coruña,15703,981589200,CPR,42.876773834228516,-8.53650188446045,Privada,Non,Non
15015834,EASD Mestre Mateo,Rúa Virxe da Cerca 32,Santiago de Compostela,A Coruña,15703,981587757,EASD,42.881072998046875,-8.540342330932617,Pública,Non,Si
15015861,IES Eduardo Pondal,Rúa Doctor Maceira 9,Santiago de Compostela,A Coruña,15706,881866367,IES,42.87105941772461,-8.554418563842773,Pública,Non,Si
15015998,CEIP Ramón Cabanillas,Rúa JOSÉ ANTONIO SOUTO PAZ 5,Santiago de Compostela,A Coruña,15702,881867921,CEIP,42.8669548034668,-8.541181564331055,Pública,Non,Si
15016000,CIFP Compostela,Rúa Lamas de Abade 23-25,Santiago de Compostela,A Coruña,15702,881866570,CIFP,42.859825134277344,-8.535134315490723,Pública,Non,Si
15016012,CEIP Plurilingüe Cardeal Quiroga Palacios,"Avenida Villaldia, 33-35",Santiago de Compostela,A Coruña,15706,981543181,CEIP,42.867576599121094,-8.556539535522461,Pública,Non,Si
15016085,CEIP Arquitecto Casas Novoa,A SIONLLA DE ABAIXO,Santiago de Compostela,A Coruña,15884,881866975,CEIP,42.92750930786133,-8.48305606842041,Pública,Non,Si
